City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
308,usinsk,65.9939,57.5281,11.72,89,90,6.49,RU,1693951577
309,virginia beach,36.8529,-75.978,33.02,65,75,3.09,US,1693951625
310,kapuskasing,49.4169,-82.4331,34.05,43,40,7.72,CA,1693951559
311,ulsteinvik,62.3432,5.8487,13.2,84,9,0.89,NO,1693951827
312,galliano,29.4422,-90.2992,33.33,52,0,2.06,US,1693951827
313,qamdo,31.1667,97.2333,2.91,87,81,0.63,CN,1693951540
314,yeppoon,-23.1333,150.7333,18.88,70,0,3.31,AU,1693951827
315,huarmey,-10.0681,-78.1522,21.38,74,95,5.72,PE,1693951827
316,saint-paul,-21.0096,55.2707,20.06,81,84,1.37,RE,1693951827
317,bandarbeyla,9.4942,50.8122,26.78,71,24,9.57,SO,1693951441
318,sequeira,40.5536,-7.2259,16.16,70,38,1.12,PT,1693951668
319,pozarevac,44.6153,21.1825,15.62,62,8,2.08,RS,1693951828
320,bamyan,34.75,67.25,4.94,56,0,1.7,AF,1693951828
321,tikrit,34.6071,43.6782,35.98,14,0,3.34,IQ,1693951828
322,male,4.1748,73.5089,25.97,94,100,6.17,MV,1693951828
323,starkville,33.4504,-88.8184,32.43,48,20,3.09,US,1693951829
324,arteche,12.2645,125.4048,25.63,87,100,1.5,PH,1693951829
325,praia da vitoria,38.7333,-27.0667,21.53,83,75,11.54,PT,1693951405
326,usogorsk,63.4106,48.6872,14.21,76,100,3.78,RU,1693951829
327,baruun-urt,46.6806,113.2792,16.74,57,33,2.22,MN,1693951829
328,chiang kham,19.5233,100.3,23.22,98,100,0.34,TH,1693951829
329,benghazi,32.1167,20.0667,25.03,61,24,3.2,LY,1693951829
330,luba,3.4568,8.5547,24.94,89,67,2.62,GQ,1693951830
331,kununurra,-15.7667,128.7333,18.99,82,40,2.06,AU,1693951396
332,bereznik,62.8551,42.7072,14.36,84,99,5.46,RU,1693951830
333,roses,42.262,3.1769,23.97,79,5,1.34,ES,1693951830
334,jolo,6.05,121.0167,25.61,89,83,1.46,PH,1693951830
335,aripuana,-9.1667,-60.6333,31.83,25,9,0.59,BR,1693951830
336,pacific grove,36.6177,-121.9166,25.69,79,20,4.12,US,1693951673
337,al harithah,30.7186,47.7208,28.98,42,0,2.06,IQ,1693951831
338,bekondo,4.6819,9.3214,21.27,98,56,1.05,CM,1693951831
339,taikang,46.8333,124.4167,15.57,93,2,2.74,CN,1693951831
340,mascara,35.3966,0.1403,21.9,59,36,1.32,DZ,1693951831
341,terekli-mekteb,44.1671,45.8698,22.34,80,46,2.57,RU,1693951831
342,colesberg,-30.72,25.0972,3.98,37,10,2.58,ZA,1693951831
343,el calafate,-50.3408,-72.2768,-0.88,78,64,0.76,AR,1693951831
344,mirny,62.5353,113.9611,-2.09,92,9,1.79,RU,1693951832
345,albertina,-22.2008,-46.6158,18.53,94,98,1.39,BR,1693951832
346,utrik,11.2278,169.8474,28.48,73,96,5.84,MH,1693951445
347,morant bay,17.8815,-76.4093,31.79,77,87,4.69,JM,1693951832
348,sorong,-0.8833,131.25,25.29,89,52,4.49,ID,1693951832
349,saint-francois,46.4154,3.9054,19.82,72,0,0.0,FR,1693951832
350,kaintragarh,20.7167,84.5333,24.19,96,100,1.02,IN,1693951833
351,santa ana,33.7456,-117.8678,28.37,74,100,4.12,US,1693951679
352,palmer,42.1584,-72.3287,31.78,63,75,1.54,US,1693951833
353,labrador city,52.9463,-66.9114,21.27,47,45,2.69,CA,1693951833
354,sabha,27.0377,14.4283,29.28,21,5,5.12,LY,1693951833
355,buka,40.8108,69.1986,15.17,31,5,1.61,UZ,1693951833
356,nguigmi,14.2495,13.1092,28.95,55,3,8.03,NE,1693951833
357,natal,-5.795,-35.2094,25.36,78,20,2.57,BR,1693951662
358,taoudenni,22.6783,-3.9836,31.54,43,78,5.68,ML,1693951396
359,thunder bay,48.4001,-89.3168,25.65,68,99,2.06,CA,1693951834
360,east london,-33.0153,27.9116,14.14,57,35,8.79,ZA,1693951401
361,spring creek,40.7266,-115.5859,21.83,29,54,3.02,US,1693951834
362,kampong chhnang,12.1667,104.55,24.88,91,98,1.02,KH,1693951834
363,tateyama,34.9833,139.8667,27.96,84,100,8.37,JP,1693951449
